CountryKey,fighters
Afghanistan,3
Angola,3
Argentina,9
Armenia,5
Australia,49
Austria,3
Belarus,3
Belgium,3
Bolivia,2
Bosnia and Herzegovina,2
Brazil,345
Bulgaria,6
Cabo Verde,1
Cameroon,1
Canada,106
Chile,4
China,13
Colombia,7
Costa Rica,3
Croatia,7
Cuba,3
Czech Republic,5
Denmark,11
Ecuador,1
El Salvador,3
Finland,8
France,29
Georgia,4
Germany,15
Greece,3
Guam,4
Hong Kong,1
Hungary,1
Iceland,1
India,3
Iran,7
Iraq,1
Ireland,13
Israel,2
Italy,9
Jamaica,3
Japan,107
Jordan,2
Kazakhstan,4
"Korea, Republic of",19
Kyrgyzstan,4
Latvia,2
Lithuania,6
Mexico,30
Moldova,1
Mongolia,2
Morocco,1
Netherlands,21
New Zealand,9
Nicaragua,1
Nigeria,1
North Macedonia,2
Northern Mariana Islands,1
Norway,4
Panama,1
Paraguay,1
Peru,7
Philippines,10
Poland,28
Portugal,2
Puerto Rico,1
Romania,4
Russian Federation,77
Serbia,5
Singapore,1
Slovakia,2
South Africa,8
Spain,5
Suriname,2
Sweden,36
Switzerland,2
Syrian Arab Republic,2
Taiwan,2
Tajikistan,1
Thailand,1
Tunisia,1
Turkey,1
Ukraine,4
United Arab Emirates,1
United Kingdom,123
United States of America,2029
Uruguay,1
Uzbekistan,2
Venezuela,4
